Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.7055906221821461,0.6947004608294931,0.6084762865792129,0.6487358795051102,0.8024157104239705
Random Forest,0.7276825969341749,0.6820319849482597,0.7315842583249244,0.7059396299902629,0.8046908731147566
Tuned Random Forest,0.7371505861136158,0.6857923497267759,0.7598385469223007,0.7209191000478697,0.8110286794681061
XGBoost,0.7330928764652841,0.69164265129683,0.7265388496468214,0.7086614173228346,0.8170667219317788
